Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,EP Room 4 Proc 1,EP Room 4 Proc 2,EP Room 4 Proc 3,EP Room 4 Proc 4,EP Room 4 Proc 5,EP Room 4 Proc 6,EP Room 4 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6,Overflow Proc 7
21,158.59,153.61,116.24,104.91,87.21,0.0,202.2,125.76,114.32,101.62,0.0,0.0,180.88,128.37,120.97,103.56,74.89,0.0,166.06,143.59,119.71,103.66,99.04,0.0,160.92,144.92,124.77,102.72,92.13,0.0,226.94,181.8,145.79,33.75,0.0,0.0,0.0,226.94,181.8,153.3,10.32,0.0,0.0,0.0,226.94,209.6,125.53,4.35,0.0,0.0,0.0,351.04,181.8,37.1,0.0,0.0,0.0,0.0,170.75,0.0,0.0,0.0,0.0,0.0,0.0
22,189.0,92.26,0.0,0.0,0.0,0.0,141.35,101.2,105.29,0.0,0.0,0.0,114.74,112.12,84.89,0.0,0.0,0.0,221.56,89.96,0.0,0.0,0.0,0.0,144.45,97.89,22.0,0.0,0.0,0.0,327.85,47.58,0.0,0.0,0.0,0.0,0.0,182.73,177.93,22.18,0.0,0.0,0.0,0.0,316.51,101.67,0.0,0.0,0.0,0.0,0.0,316.51,134.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,340.11,0.0,0.0,0.0,0.0,0.0,128.45,105.54,83.9,0.0,0.0,0.0,147.62,95.65,152.06,0.0,0.0,0.0,204.8,91.74,0.0,0.0,0.0,0.0,116.5,108.09,86.53,0.0,0.0,0.0,326.86,87.53,0.0,0.0,0.0,0.0,0.0,316.51,119.63,0.0,0.0,0.0,0.0,0.0,266.12,150.63,0.0,0.0,0.0,0.0,0.0,340.78,40.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,171.86,127.65,106.54,76.12,0.0,0.0,146.53,133.22,110.13,87.52,0.0,0.0,284.15,109.69,79.37,115.05,0.0,0.0,216.59,115.33,99.24,70.19,0.0,0.0,160.44,127.72,109.68,79.03,10.0,0.0,259.18,178.56,176.08,0.0,0.0,0.0,0.0,349.22,177.87,103.5,0.0,0.0,0.0,0.0,540.79,30.0,20.0,15.0,0.0,0.0,0.0,242.57,228.37,133.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,146.56,128.97,110.49,95.55,0.0,0.0,190.04,122.42,105.86,75.57,0.0,0.0,208.03,121.32,105.55,57.35,0.0,0.0,252.66,111.82,99.1,42.25,0.0,0.0,146.44,136.32,110.08,80.2,29.0,0.0,349.86,177.87,95.28,0.0,0.0,0.0,0.0,294.07,177.87,133.67,0.0,0.0,0.0,0.0,249.23,207.47,165.97,0.0,0.0,0.0,0.0,242.57,242.57,133.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,210.88,109.98,99.74,84.0,62.0,0.0,137.76,133.39,109.24,95.94,64.0,32.0,156.87,118.7,104.28,99.18,63.21,69.05,169.38,117.65,100.34,86.89,82.23,0.0,144.95,130.27,107.48,92.05,72.54,0.0,301.66,160.45,60.0,20.0,0.0,0.0,0.0,180.85,160.45,92.57,75.7,30.0,0.0,0.0,174.97,164.07,136.43,56.33,0.0,0.0,0.0,338.14,160.45,118.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,249.45,87.31,170.49,0.0,0.0,0.0,130.17,128.95,76.82,54.0,0.0,0.0,148.83,109.04,82.32,0.0,0.0,0.0,180.12,92.58,65.88,0.0,0.0,0.0,180.5,90.74,66.73,0.0,0.0,0.0,392.02,32.62,0.0,0.0,0.0,0.0,0.0,229.48,120.0,65.9,29.45,0.0,0.0,0.0,215.29,146.03,54.15,22.48,0.0,0.0,0.0,206.89,175.92,37.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,138.97,116.91,84.25,0.0,0.0,0.0,269.6,69.49,0.0,0.0,0.0,0.0,214.75,87.49,62.0,0.0,0.0,0.0,161.77,102.28,75.09,0.0,0.0,0.0,142.51,109.36,84.61,174.45,0.0,0.0,292.47,106.1,30.0,25.18,0.0,0.0,0.0,344.67,90.77,23.0,0.0,0.0,0.0,0.0,614.57,0.0,0.0,0.0,0.0,0.0,0.0,208.08,157.5,47.58,26.22,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,136.71,101.56,145.82,0.0,0.0,0.0,144.31,90.52,73.5,0.0,0.0,0.0,244.84,0.0,0.0,0.0,0.0,0.0,123.46,111.26,75.94,0.0,0.0,0.0,198.83,85.4,0.0,0.0,0.0,0.0,308.15,201.09,100.0,0.0,0.0,0.0,0.0,280.43,270.35,0.0,0.0,0.0,0.0,0.0,411.92,99.4,15.7,15.05,0.0,0.0,0.0,411.92,118.37,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,147.83,89.65,70.49,0.0,0.0,0.0,143.15,92.09,72.08,0.0,0.0,0.0,125.83,107.34,82.77,0.0,0.0,0.0,118.24,115.52,79.34,0.0,0.0,0.0,135.22,103.04,0.0,0.0,0.0,0.0,315.62,164.46,37.07,0.0,0.0,0.0,0.0,411.92,57.0,39.88,37.07,0.0,0.0,0.0,362.49,147.43,22.18,0.0,0.0,0.0,0.0,307.52,213.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
