Day,0:0,0:15,0:30,0:45,1:0,1:15,1:30,1:45,2:0,2:15,2:30,2:45,3:0,3:15,3:30,3:45,4:0,4:15,4:30,4:45,5:0,5:15,5:30,5:45,6:0,6:15,6:30,6:45,7:0,7:15,7:30,7:45,8:0,8:15,8:30,8:45,9:0,9:15,9:30,9:45,10:0,10:15,10:30,10:45,11:0,11:15,11:30,11:45,12:0,12:15,12:30,12:45,13:0,13:15,13:30,13:45,14:0,14:15,14:30,14:45,15:0,15:15,15:30,15:45,16:0,16:15,16:30,16:45,17:0,17:15,17:30,17:45,18:0,18:15,18:30,18:45,19:0,19:15,19:30,19:45,20:0,20:15,20:30,20:45,21:0,21:15,21:30,21:45,22:0,22:15,22:30,22:45,23:0,23:15,23:30,23:45
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,1,2,3,2,2,20,2,1,21,18,2,3,19,3,3,21,21,4,37,4,20,3,2,35,19,2,1,22,3,18,21,2,16,0,0,36,0,0,0,0,34,0,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,1,1,1,1,1,2,2,20,2,2,0,1,19,18,2,2,1,1,1,16,0,2,21,21,3,3,1,0,50,1,18,1,1,1,0,17,0,20,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,3,3,3,4,21,3,20,21,3,21,4,38,4,5,20,21,21,20,2,19,21,20,19,21,21,3,2,3,35,20,2,1,19,0,17,33,0,0,0,16,52,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,2,2,3,3,3,2,3,37,2,19,2,3,4,24,22,7,24,5,4,57,3,21,54,4,19,3,3,34,3,21,21,1,1,15,53,0,14,0,0,15,34,16,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,1,2,3,3,3,3,2,18,20,22,3,4,21,3,3,37,3,20,3,20,23,4,20,3,19,17,2,20,37,3,3,2,20,0,18,32,17,35,0,0,35,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,1,1,2,3,3,2,2,17,1,19,20,3,2,2,2,19,17,18,1,19,5,5,21,5,6,2,2,72,19,1,1,1,38,1,0,0,0,18,0,0,18,70,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,2,2,4,4,3,3,19,22,3,38,2,3,3,38,2,21,20,3,3,40,3,2,22,21,20,2,2,37,3,3,33,3,1,0,0,35,17,0,0,16,16,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,1,1,2,1,3,20,21,4,4,19,3,23,21,4,37,4,3,2,36,36,2,3,3,23,20,3,2,21,2,38,2,17,0,0,18,34,0,18,16,0,0,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,3,3,2,3,20,2,18,20,2,2,19,3,20,3,3,5,23,23,22,6,20,1,75,3,39,3,3,21,3,2,17,17,18,0,0,51,0,0,33,0,35,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
