Day,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,3,10,7,16,14,20,5,10,12,17,11,12,7,7,27,7,7,1,10,10,10,15,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,5,13,16,10,5,13,19,5,4,19,8,7,13,8,2,5,10,5,0,20,15,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,3,5,17,11,15,13,13,4,8,13,5,14,10,2,22,1,5,5,10,5,10,10,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,3,4,12,8,9,5,9,8,17,2,8,8,4,14,14,2,10,10,0,0,5,20,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,2,4,12,3,13,8,3,12,7,3,7,12,6,6,1,0,10,5,0,10,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,4,4,6,28,10,14,3,7,13,11,5,8,12,18,3,1,10,5,0,10,10,10,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,4,4,9,18,5,10,13,7,13,10,9,7,17,13,3,1,10,5,0,10,10,5,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,2,6,7,8,5,10,14,2,16,3,8,4,1,17,6,6,0,5,5,10,5,0,5,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,4,4,16,12,4,4,2,17,7,7,0,10,2,7,3,6,11,0,5,5,0,5,5,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,2,6,2,6,6,2,7,3,1,12,12,3,2,6,5,5,0,10,0,0,5,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,4,5,19,9,5,14,14,3,13,7,14,4,10,3,18,7,6,5,5,15,5,10,5,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,10,13,10,9,9,9,14,11,8,14,8,14,3,12,6,5,5,5,20,10,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,5,6,18,14,9,5,8,12,7,9,10,4,6,18,8,8,0,20,0,5,15,5,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,3,10,5,13,13,9,6,3,17,14,10,5,7,18,8,3,7,12,1,20,10,10,5,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,2,8,3,7,8,9,4,12,6,6,1,6,1,5,5,10,0,0,0,10,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,10,16,11,15,8,16,11,11,10,25,9,10,19,9,0,20,5,5,15,10,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,3,4,13,7,9,8,4,2,18,3,7,7,11,6,0,5,5,0,5,10,0,5,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,3,3,13,8,3,8,8,14,7,6,7,7,2,5,10,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,4,8,12,7,3,4,8,8,6,12,2,8,2,6,10,5,0,5,0,10,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,7,2,6,6,2,1,6,1,6,1,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,3,4,13,8,14,9,6,16,11,8,22,9,10,6,9,18,6,11,11,11,0,25,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,4,4,12,20,11,17,8,8,10,4,14,7,13,8,8,2,11,6,0,10,20,10,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,2,4,15,6,15,14,13,2,8,15,7,4,19,13,18,1,10,5,0,20,0,10,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,4,4,12,13,4,5,4,23,4,8,14,7,6,9,9,5,1,21,5,5,0,25,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,2,2,6,6,3,3,3,11,6,0,6,6,1,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,4,19,4,10,8,15,9,8,13,7,7,2,17,2,5,15,5,0,15,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,3,8,15,5,9,11,14,5,4,13,14,9,4,14,14,2,10,10,10,15,10,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,3,10,14,5,12,8,8,9,7,7,12,8,2,6,5,10,5,5,5,0,5,5,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,5,13,13,9,10,5,15,20,8,6,17,9,4,2,11,11,1,0,10,15,5,5,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,2,6,2,7,9,4,13,6,6,6,1,0,7,2,12,0,10,5,0,5,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,3,4,8,12,13,3,7,0,12,12,2,0,10,1,1,6,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,5,5,10,22,4,5,10,8,11,18,4,4,2,21,1,10,5,0,5,5,5,10,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,4,13,14,4,14,7,17,2,6,6,3,9,4,2,16,6,5,10,5,5,5,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,3,4,8,16,8,3,4,8,13,2,5,11,1,2,2,7,6,5,5,10,10,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,6,2,2,7,1,8,7,2,0,16,1,1,1,7,2,1,10,10,5,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,4,10,16,15,9,17,9,3,11,9,16,3,24,2,12,13,8,2,10,15,0,20,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,4,18,4,14,3,19,4,13,3,13,9,3,13,7,6,5,5,5,20,5,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,2,3,10,16,10,12,14,9,5,4,25,5,8,25,4,8,5,15,0,10,10,10,5,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,4,3,16,7,3,4,9,14,7,6,8,9,5,7,11,5,5,5,0,0,10,15,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,3,3,12,7,3,3,12,1,6,6,6,1,6,1,5,10,0,5,0,5,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,8,14,9,6,13,7,11,7,4,4,9,8,13,7,6,5,10,10,15,5,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,3,8,8,9,10,5,14,13,7,7,12,3,2,9,10,10,2,15,10,5,10,20,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,4,8,8,15,6,5,11,22,3,3,1,15,11,3,4,3,6,15,5,0,10,10,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,4,13,14,5,10,8,14,8,8,11,10,4,10,7,22,1,5,5,10,15,5,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,2,7,6,2,1,7,7,2,6,11,11,1,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,10,14,11,14,3,10,13,4,5,2,19,9,9,2,17,12,1,10,5,20,5,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,5,14,14,10,5,15,14,8,6,11,7,5,5,9,6,15,5,0,25,5,5,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,3,5,20,9,13,2,13,5,9,8,14,14,5,12,17,1,10,5,0,10,10,5,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,4,5,18,7,9,3,9,1,20,4,9,11,17,2,2,6,6,5,10,0,10,5,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,2,2,8,9,4,8,11,8,4,9,12,11,11,2,6,11,0,10,0,5,0,0,5,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,4,7,24,6,19,4,7,13,9,11,4,12,12,13,5,3,12,10,15,5,20,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,2,4,9,9,14,10,14,7,7,14,4,9,9,15,4,12,11,5,10,5,5,15,5,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,3,10,14,4,14,14,4,3,23,5,3,13,8,14,3,6,10,5,10,15,10,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,5,12,23,5,9,15,3,11,12,9,5,8,11,10,5,0,0,5,0,10,10,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,3,4,13,9,9,9,12,7,6,8,2,7,5,10,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0
