Day,0:0,0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,6,19,17,12,12,12,19,20,12,27,11,12,5,27,10,7,21,0,14,8,29,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,2,3,10,10,8,2,11,3,3,17,16,0,8,0,0,7,7,13,0,7,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,3,10,16,13,12,17,17,19,5,12,18,16,9,10,2,8,14,0,13,21,7,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,5,10,6,25,11,12,12,12,18,19,12,12,18,11,19,9,13,13,21,7,0,27,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,3,4,4,22,8,3,4,2,17,10,12,15,16,7,8,8,8,8,0,14,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,2,6,20,6,32,19,11,5,18,28,5,18,24,12,13,11,17,16,15,7,13,0,29,6,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,3,4,17,8,16,3,3,1,15,9,4,9,15,15,7,0,0,7,7,14,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,7,13,19,31,12,11,11,18,12,13,19,11,17,15,9,9,15,24,0,7,8,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,5,11,19,11,19,5,10,16,10,21,5,18,18,17,2,14,14,7,7,19,7,6,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,4,5,16,14,7,2,2,10,3,9,8,14,7,0,8,0,7,7,0,7,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,4,12,12,17,10,12,6,12,25,12,19,17,9,12,15,3,7,19,7,7,15,22,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,3,4,11,16,8,8,2,3,10,3,21,8,1,14,9,0,15,0,19,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,4,10,18,5,17,4,35,13,12,18,25,3,15,10,8,23,0,16,7,13,7,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,3,5,18,17,11,10,13,5,24,5,32,5,16,19,4,14,20,0,6,20,28,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,2,2,14,0,1,2,2,1,13,7,2,9,2,0,14,0,0,7,8,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,6,13,26,18,11,11,12,11,19,12,26,13,12,18,12,25,10,8,21,7,6,27,6,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,3,15,2,9,2,1,8,8,2,1,7,9,0,8,0,0,7,0,8,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,6,16,25,10,11,3,17,18,13,5,26,11,10,14,8,15,8,8,13,14,0,7,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,5,20,17,12,13,12,12,27,20,3,19,18,11,3,15,15,8,21,0,20,7,0,0,0,0,0,0,0,0,0
