Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5
38,102.97,215.41,109.39,0.0,0.0,0.0,105.01,168.06,132.69,0.0,0.0,0.0,97.32,242.61,104.59,0.0,0.0,0.0,103.46,192.44,115.38,0.0,0.0,0.0,104.44,190.96,120.41,0.0,0.0,0.0,151.23,314.49,81.7,0.0,148.5,370.87,0.0,0.0,183.45,309.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,118.57,173.32,104.25,75.88,0.0,0.0,116.13,195.64,100.11,50.0,0.0,0.0,126.25,142.61,118.12,81.8,0.0,0.0,123.79,165.36,106.67,81.4,0.0,0.0,79.29,138.99,130.11,97.31,0.0,0.0,155.83,59.0,0.0,0.0,170.53,58.13,0.0,0.0,146.73,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,91.07,186.26,106.78,85.13,0.0,0.0,96.25,241.86,98.22,92.9,0.0,0.0,100.82,279.34,86.21,0.0,0.0,0.0,101.01,201.62,101.23,72.06,0.0,0.0,79.25,134.54,139.12,91.74,0.0,0.0,130.87,66.67,24.87,0.0,211.31,0.0,0.0,0.0,235.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,78.93,126.24,159.44,105.3,132.05,0.0,70.0,120.77,167.3,112.74,0.0,0.0,119.7,184.17,118.33,93.22,0.0,0.0,115.94,202.99,117.59,76.62,0.0,0.0,114.48,281.72,101.56,0.0,0.0,0.0,182.36,213.91,0.0,0.0,185.21,0.0,0.0,0.0,190.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,100.58,158.79,95.45,20.0,0.0,0.0,93.64,144.91,139.42,0.0,0.0,0.0,95.22,148.08,135.03,0.0,0.0,0.0,96.97,154.58,117.91,106.22,0.0,0.0,89.96,143.44,140.4,0.0,0.0,0.0,166.83,315.24,0.0,0.0,150.51,317.09,0.0,0.0,179.26,207.12,118.03,0.0,0.0,0.0,0.0,0.0,0.0
43,115.8,365.76,0.0,0.0,0.0,0.0,113.47,276.19,0.0,0.0,0.0,0.0,57.39,120.74,161.07,77.65,0.0,0.0,119.11,173.1,86.97,0.0,0.0,0.0,108.67,208.28,84.0,0.0,0.0,0.0,175.66,311.68,0.0,0.0,176.92,261.47,84.8,0.0,146.7,317.79,81.13,0.0,0.0,0.0,0.0,0.0,0.0
44,92.64,144.26,263.92,116.29,0.0,0.0,94.02,147.09,181.17,92.38,0.0,0.0,96.21,151.74,176.03,88.7,0.0,0.0,97.29,156.99,141.96,102.7,68.24,0.0,100.65,163.56,138.22,102.3,88.16,0.0,71.03,341.9,0.0,0.0,391.81,176.93,0.0,0.0,395.84,108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,110.07,229.93,110.69,69.39,0.0,0.0,108.53,206.85,110.89,74.0,0.0,0.0,105.81,187.22,112.04,95.28,0.0,0.0,103.04,180.46,137.77,92.97,0.0,0.0,117.77,429.08,0.0,0.0,0.0,0.0,119.93,318.09,0.0,0.0,142.23,315.42,0.0,0.0,154.33,246.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,85.32,135.25,120.64,89.72,0.0,0.0,86.84,137.51,105.27,95.3,74.69,0.0,74.0,123.41,176.73,117.38,0.0,0.0,81.09,129.96,139.02,84.55,0.0,0.0,116.05,243.92,82.77,0.0,0.0,0.0,321.45,234.5,0.0,0.0,258.16,340.34,0.0,0.0,350.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,102.36,179.49,140.25,112.97,0.0,0.0,100.65,162.22,150.14,114.08,0.0,0.0,107.08,192.91,133.95,85.7,0.0,0.0,105.55,187.17,137.61,102.22,0.0,0.0,113.42,273.89,120.86,0.0,0.0,0.0,337.5,254.82,0.0,0.0,470.52,128.17,0.0,0.0,235.44,335.12,0.0,0.0,306.26,195.34,0.0,0.0,0.0
