Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 1 Proc 7,Cath Room 1 Proc 8,Cath Room 1 Proc 9,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 2 Proc 7,Cath Room 2 Proc 8,Cath Room 2 Proc 9,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 3 Proc 7,Cath Room 3 Proc 8,Cath Room 3 Proc 9,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 4 Proc 7,Cath Room 4 Proc 8,Cath Room 4 Proc 9,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,Cath Room 5 Proc 7,Cath Room 5 Proc 8,Cath Room 5 Proc 9,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6
25,79.25,88.1,89.07,95.38,97.73,98.56,0.0,0.0,0.0,100.78,113.39,119.48,120.52,121.01,0.0,0.0,0.0,0.0,123.69,125.08,144.33,146.51,0.0,0.0,0.0,0.0,0.0,161.15,177.73,275.67,0.0,0.0,0.0,0.0,0.0,0.0,158.61,184.5,236.21,0.0,0.0,0.0,0.0,0.0,0.0,161.62,161.62,161.62,133.67,0.0,0.0,0.0,169.19,244.35,133.67,0.0,0.0,0.0,0.0,244.35,244.35,133.67,0.0,0.0,0.0,0.0,276.34,353.19,255.31,0.0,0.0,0.0
26,32.0,62.0,63.7,67.81,71.35,74.77,82.86,86.15,89.11,94.33,96.72,96.92,102.84,104.18,105.13,0.0,0.0,0.0,106.29,108.09,115.89,122.26,124.2,0.0,0.0,0.0,0.0,124.61,142.14,146.55,149.8,0.0,0.0,0.0,0.0,0.0,158.58,203.52,174.76,74.62,0.0,0.0,0.0,0.0,0.0,321.25,56.33,75.7,92.57,0.0,0.0,0.0,329.58,136.43,158.28,0.0,0.0,0.0,0.0,158.28,158.28,164.07,0.0,0.0,0.0,0.0,178.23,108.88,0.0,0.0,0.0,0.0
27,54.0,57.51,70.0,70.38,72.82,79.24,97.41,104.2,0.0,118.41,135.01,137.63,174.36,0.0,0.0,0.0,0.0,0.0,207.35,251.93,146.03,0.0,0.0,0.0,0.0,0.0,0.0,277.01,157.5,186.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.57,337.93,0.0,0.0,0.0,0.0,0.0,398.46,90.77,120.0,0.0,0.0,0.0,0.0,612.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,82.84,83.88,83.93,84.31,86.55,89.07,109.03,0.0,0.0,115.1,127.22,143.22,159.19,0.0,0.0,0.0,0.0,0.0,176.43,181.55,188.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,171.93,204.54,106.1,0.0,0.0,0.0,214.9,228.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,70.27,75.96,91.32,91.85,102.84,106.96,0.0,0.0,0.0,115.71,116.75,119.65,124.46,127.24,0.0,0.0,0.0,0.0,127.62,153.32,203.18,138.14,0.0,0.0,0.0,0.0,0.0,256.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.79,296.52,118.37,0.0,0.0,0.0,0.0,359.05,147.43,0.0,0.0,0.0,0.0,0.0,168.47,313.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,66.25,78.77,81.12,82.8,85.77,103.88,124.26,0.0,0.0,135.78,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,267.6,192.34,0.0,0.0,0.0,0.0,278.46,311.32,0.0,0.0,0.0,0.0,0.0,392.15,0.0,0.0,0.0,0.0,0.0,0.0,392.15,392.15,0.0,0.0,0.0,0.0
31,239.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,69.54,84.37,84.84,87.26,96.22,102.02,102.67,0.0,0.0,105.76,109.3,111.67,115.36,117.18,0.0,0.0,0.0,0.0,118.59,125.32,129.97,139.08,105.03,0.0,0.0,0.0,0.0,140.69,153.77,153.86,165.68,0.0,0.0,0.0,0.0,0.0,172.91,186.95,189.13,0.0,0.0,0.0,0.0,0.0,0.0,262.45,269.93,0.0,0.0,0.0,0.0,0.0,269.93,269.93,0.0,0.0,0.0,0.0,0.0,297.57,309.98,0.0,0.0,0.0,0.0,0.0,444.37,0.0,0.0,0.0,0.0,0.0
33,79.29,81.32,82.56,89.8,90.06,90.09,90.8,0.0,0.0,93.59,95.15,95.95,97.32,100.8,108.34,0.0,0.0,0.0,114.03,120.66,128.56,134.54,0.0,0.0,0.0,0.0,0.0,167.99,174.06,238.11,0.0,0.0,0.0,0.0,0.0,0.0,242.61,270.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.4,170.4,170.4,0.0,0.0,0.0,0.0,250.45,322.85,0.0,0.0,0.0,0.0,0.0,322.85,148.5,0.0,0.0,0.0,0.0,0.0,322.85,183.45,0.0,0.0,0.0,0.0
34,86.64,94.62,96.25,100.17,103.46,107.32,0.0,0.0,0.0,112.23,112.42,112.49,119.43,123.34,0.0,0.0,0.0,0.0,123.9,126.25,126.64,131.32,115.77,0.0,0.0,0.0,0.0,132.33,140.45,151.5,170.04,0.0,0.0,0.0,0.0,0.0,186.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.91,240.71,98.53,0.0,0.0,0.0,0.0,314.15,184.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.23,0.0,0.0,0.0,0.0,0.0
